time,decision,spx_entry,spx_exit,move_pct,won
2025-11-05 16:30:00+00:00,CALL,6821.18,6795.95,-0.37,False
2025-11-06 20:30:00+00:00,PUT,6721.72,6673.01,-0.725,True
2025-11-07 18:30:00+00:00,CALL,6684.42,6776.06,1.371,True
2025-11-10 15:30:00+00:00,PUT,6776.06,6832.99,0.84,False
2025-11-10 17:30:00+00:00,CALL,6814.28,6814.33,0.001,True
2025-11-12 18:30:00+00:00,PUT,6847.05,6776.22,-1.034,True
2025-11-14 16:30:00+00:00,CALL,6768.05,6735.1,-0.487,False
2025-11-14 20:30:00+00:00,PUT,6735.1,6703.84,-0.464,True
2025-11-17 16:30:00+00:00,CALL,6739.65,6672.91,-0.99,False
2025-11-17 17:30:00+00:00,PUT,6703.84,6606.26,-1.456,True
2025-11-18 17:30:00+00:00,CALL,6649.72,6679.01,0.44,True
2025-11-20 16:30:00+00:00,PUT,6600.22,6539.18,-0.925,True
2025-11-21 16:30:00+00:00,CALL,6617.38,6603.8,-0.205,False
2025-11-26 20:30:00+00:00,PUT,6811.76,6812.37,0.009,False
2025-12-04 17:30:00+00:00,CALL,6859.88,6890.91,0.452,True
2025-12-04 18:30:00+00:00,PUT,6834.74,6871.42,0.537,False
2025-12-04 20:30:00+00:00,CALL,6857.96,6877.59,0.286,True
2025-12-08 17:30:00+00:00,PUT,6839.9,6854.08,0.207,False
2025-12-10 19:30:00+00:00,CALL,6892.13,6884.52,-0.11,False
2025-12-12 15:30:00+00:00,PUT,6823.21,6823.76,0.008,False
2025-12-16 19:30:00+00:00,CALL,6801.38,6750.2,-0.752,False
2025-12-18 16:30:00+00:00,PUT,6767.15,6774.35,0.106,False
2025-12-19 15:30:00+00:00,CALL,6831.03,6833.48,0.036,True
2025-12-24 17:30:00+00:00,PUT,6935.8,6928.69,-0.103,True
2026-01-02 18:30:00+00:00,CALL,6855.05,6912.83,0.843,True
2026-01-15 19:30:00+00:00,PUT,6942.7,6949.24,0.094,False
2026-01-21 14:30:00+00:00,CALL,6853.43,6867.57,0.206,True
2026-01-22 19:30:00+00:00,PUT,6905.6,6925.37,0.286,False
2026-01-26 14:30:00+00:00,CALL,6948.94,6961.85,0.186,True
2026-01-29 15:30:00+00:00,PUT,6902.72,6938.11,0.513,False
2026-01-29 18:30:00+00:00,CALL,6943.91,6932.95,-0.158,False
2026-02-03 16:30:00+00:00,PUT,6910.27,6917.4,0.103,False
2026-02-03 20:30:00+00:00,CALL,6917.4,6870.46,-0.679,False
2026-02-10 20:30:00+00:00,PUT,6940.01,6948.88,0.128,False
2026-02-11 16:30:00+00:00,CALL,6955.88,6939.68,-0.233,False
2026-02-12 15:30:00+00:00,PUT,6855.39,6851.88,-0.051,True
